id,building,room,days,start_time,end_time
521,TEB,1118B,F,0900AM,1150AM
522,TEB,1118B,T,0600PM,0850PM
523,TEB,1118B,R,0600PM,0850PM
524,TEB,1118D,TR,0200PM,0250PM
525,RVR,1002,MW,0900AM,1015AM
526,RVR,1012,TR,0730AM,0845AM
527,FLS,1049,W,0600PM,0750PM
528,ALP,156,F,1000AM,1250PM
529,ALP,232,F,1000AM,1250PM
530,MND,3007,TR,0430PM,0545PM
531,RVR,2010,MW,0600PM,0715PM
532,AMD,362,TR,0730AM,0845AM
533,RVR,1010,MW,0730AM,0845AM
534,EUR,112,W,0300PM,0415PM
535,BRH,204,W,0130PM,0245PM
536,BRH,204,M,1030AM,1145AM
537,HMB,109,MW,1200PM,0115PM
538,EUR,104,T,1200PM,0115PM
539,BRH,204,M,0130PM,0245PM
540,BRH,204,W,1030AM,1145AM
541,EUR,209,MW,0130PM,0245PM
542,EUR,115,T,0900AM,1015AM
543,ALP,148,TR,0300PM,0415PM
544,DH,208,R,0300PM,0415PM
545,EUR,101,MWF,1200PM,1250PM
546,EUR,112,M,0430PM,0545PM
547,EUR,112,T,0430PM,0545PM
548,EUR,115,R,0130PM,0245PM
549,BRH,204,M,0300PM,0415PM
550,BRH,204,T,1030AM,1145AM
551,CLV,141,TR,0900AM,1015AM
552,RVR,1008,MW,0130PM,0245PM
553,BRH,109,MW,0300PM,0415PM
554,EUR,106,T,1200PM,0115PM
555,EUR,111,TR,1100AM,1150AM
556,EUR,111,MW,0900AM,0950AM
557,BRH,204,R,0130PM,0245PM
558,CLV,141,W,1200PM,0115PM
559,EUR,115,R,1030AM,1145AM
560,EUR,223,M,0300PM,0415PM
561,WEB,ONLINE,TR,1200PM,0115PM
562,ARC,1011,T,1030AM,1145AM
563,EUR,211,T,1200PM,0115PM
564,EUR,320,R,0300PM,0415PM
565,EUR,107,W,1000AM,1100AM
566,FLS,1051,M,0300PM,0450PM
567,WEB,ONLINE,TR,1200PM,0150PM
568,EUR,111,TR,0900AM,1050AM
569,EUR,223,R,0900AM,1015AM
570,BRH,204,W,0300PM,0415PM
571,BRH,204,T,1200PM,0115PM
572,EUR,209,TR,1200PM,0150PM
573,EUR,209,W,1000AM,1250PM
574,BRH,204,R,0500PM,0750PM
575,BNC,1029,F,1000AM,1250PM
576,EUR,111,W,0430PM,0545PM
577,EUR,111,MW,0300PM,0415PM
578,EUR,104,M,1200PM,0115PM
579,EUR,209,R,1030AM,1145AM
580,EUR,111,M,0530PM,0645PM
581,ARC,1010,R,0300PM,0415PM
582,EUR,111,T,0300PM,0415PM
583,BRH,204,M,0400PM,0515PM
584,EUR,106,R,1030AM,1145AM
585,WEB,ONLINE,W,0900AM,1015AM
586,BRH,204,W,0530PM,0645PM
587,BRH,204,R,1200PM,0115PM
588,EUR,111,MW,0130PM,0245PM
589,WEB,ONLINE,M,1030AM,1145AM
590,ARC,1011,W,0300PM,0415PM
591,EUR,115,TR,1200PM,0115PM
592,EUR,101,F,0130PM,0245PM
593,EUR,223,T,1200PM,0115PM
594,BRH,204,MW,0900AM,0950AM
595,EUR,102,T,0400PM,0515PM
596,EUR,215,TR,1030AM,1145AM
597,FLS,1051,MW,1200PM,0115PM
598,EUR,309,M,1200PM,0115PM
599,EUR,104,T,0300PM,0415PM
600,EUR,115,M,0900AM,1015AM
601,CLV,141,T,1200PM,0115PM
602,EUR,105,T,0300PM,0415PM
603,HMB,202,W,1200PM,0115PM
604,EUR,104,T,1030AM,1145AM
605,EUR,115,T,0300PM,0415PM
606,WEB,ONLINE,W,0900AM,1015AM
607,EUR,104,R,0130PM,0245PM
608,CPS,327,W,0130PM,0245PM
609,WEB,ONLINE,M,0400PM,0650PM
610,SQU,443,W,0500PM,0615PM
611,EUR,315,M,0530PM,0720PM
612,EUR,329,W,0530PM,0720PM
613,MND,1005,MWF,0900AM,0950AM
614,SQU,450,M,1100AM,1150AM
615,SQU,416,W,1100AM,0130PM
616,SQU,450,M,0200PM,0250PM
617,SQU,418,W,0200PM,0430PM
618,SQU,122,M,1100AM,1150AM
619,SQU,418,W,1100AM,0130PM
620,EUR,309,M,0200PM,0250PM
621,SQU,416,W,0200PM,0430PM
622,MND,1005,TR,0130PM,0245PM
623,LIB,126,T,1030AM,1120AM
624,SQU,418,R,1030AM,0100PM
625,SQU,450,T,0300PM,0350PM
626,SQU,416,R,0300PM,0530PM
627,SQU,102,T,0730AM,0820AM
628,SQU,416,R,0730AM,1000AM
629,SQU,450,M,0600PM,0650PM
630,SQU,418,W,0600PM,0830PM
631,BRH,113,T,0300PM,0350PM
632,SQU,418,R,0300PM,0530PM
633,SQU,444,T,1030AM,1120AM
